mapping_id,source_table,source_column,source_value,source_value_description,destination_table,destination_column,concept_id,concept_description,map_on_presence,override_source_data,mapping_type,mapping_criteria_value,mapping_notes,mapping_logic
,tbl_SRCode,ctv3code,,,MEASUREMENT,measurement_concept_id,,,false,,information,,,Use source mapping provided to map to a standard SNOMED code. Only map if Domain=MEASUREMENT
,tbl_SRCode,ctv3code,,,MEASUREMENT,measurement_source_value,,,false,,information,,,CTV3 Code
,tbl_SRCode,ctv3code,,,MEASUREMENT,measurement_source_concept_id,,,false,,information,,,Use separate resource to convert ctv3code to a SNOMED equivalent code. Map to standard equivalent if non-standard
,tbl_SRVisit,Duration,,,OBSERVATION,unit_concept_id,,,false,,information,,,8550 - minute
,tbl_SRCode,numericunit,,,OBSERVATION,unit_concept_id,,,false,,information,,,See lookup mappings
,tbl_SRVisit,Duration,,,OBSERVATION,unit_concept_id,8550, minute,false,,OBSERVATION_unit_concept_id,,,8550 - minute
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,OBSERVATION,visit_detail_id,,,false,,information,,,"Use associated numeric ID for Hospital_Provider_Spell_Number then CONCAT(numeric_Hosp_Provider_spell_Number,Episode_Number)"
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,OBSERVATION,visit_detail_id,,,false,,information,,,"Use associated numeric ID for Hospital_Provider_Spell_Number then CONCAT(numeric_Hosp_Provider_spell_Number,Episode_Number)"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Start_Date_Hospital_Provider_Spell,,,OBSERVATION,observation_date,,,false,,information,,,Use with Admission_Method_Hospital_Provider_Spell
,SUS_BRI_APC_010415_to_300619_P1,Date_of_Birth,,,OBSERVATION,observation_date,,,false,,information,,,Use with the ethnicity
,tbl_SRCode,dateevent,,,OBSERVATION,observation_date,,,false,,information,,,Truncate time from datevent
,SUS_BRI_OP_010415_to_300619,Referral_Request_Received_Date,,,OBSERVATION,observation_date,,,false,,information,,,Use with Source_of_referral for outpatients
,SUS_BRI_APC_010415_to_300619_P1,Start_Date_Hospital_Provider_Spell,,,OBSERVATION,observation_date,,,false,,information,,,Use with Admission_Method_Hospital_Provider_Spell
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Date_of_Birth_mm_yy,,,OBSERVATION,observation_date,,,false,,information,,,Use with the ethnicity
,SUS_BRI_OP_010415_to_300619,Date_of_Birth,,,OBSERVATION,observation_date,,,false,,information,,,Use with the ethnicity
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Date_From_Hospital_Provider_Spell,,,OBSERVATION,observation_date,,,false,,information,,,Use with Discharge_Method_Hospital_Provider_Spell & Discharge_Destination_Hospital_Provider_Spell
,SUS_BRI_AE_010415_to_300619,Date_of_Birth,,,OBSERVATION,observation_date,,,false,,information,,,Use with the ethnicity
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Date_From_Hospital_Provider_Spell,,,OBSERVATION,observation_date,,,false,,information,,,Use with Discharge_Method_Hospital_Provider_Spell & Discharge_Destination_Hospital_Provider_Spell
,tbl_SRReferralIn,PrimaryReason,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_AE_010415_to_300619,Ethnic_Category,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_OP_010415_to_300619,Attended_Or_Did_Not_Attend,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,tbl_SRPatient,ethnicity,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_APC_010415_to_300619_P1,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_OP_010415_to_300619,Source_Of_Referral_For_Outpatients,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,tbl_SRReferralIn,Source,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Ethnic_Category,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,value_as_concept_id,,,false,,information,,,See lookup mappings
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,OBSERVATION,visit_occurrence_id,,,false,,information,,,Use associated numeric ID for Hospital_Provider_Spell_Number
,tbl_SRReferralIn,RowIdentifer,,,OBSERVATION,visit_occurrence_id,,,false,,information,,,Select tbl_SRVisit.RowIdentifier from tbl_SRVisit where tbl_SRVisit.idreferralin=tbl_SRReferralIn.RowIdentifier
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,OBSERVATION,visit_occurrence_id,,,false,,information,,,Use associated numeric ID for Hospital_Provider_Spell_Number
,SUS_BRI_OP_010415_to_300619,Appointment_Date,,,OBSERVATION,observation_datetime,,,false,,information,,,"CONCAT(Appointment_Date,Appointment_Time)"
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,qualifier_concept_id,,,false,,information,,,44804205 - Emergency Services
,tbl_SRReferralIn,PrimaryReason,,,OBSERVATION,qualifier_concept_id,,,false,,information,,,4260904 - Reason for
,tbl_SRReferralIn,PrimaryReason,,,OBSERVATION,qualifier_concept_id,4260904, Reason for,false,,OBSERVATION_qualifier_concept_id,,,4260904 - Reason for
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,qualifier_concept_id,44804205, Emergency Services,false,,OBSERVATION_qualifier_concept_id,,,44804205 - Emergency Services
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,qualifier_concept_id,44804205, Emergency Services,false,,OBSERVATION_qualifier_concept_id,,,44804205 - Emergency Services
,SUS_BRI_APC_010415_to_300619_P1,Ethnic_Category,,,OBSERVATION,observation_concept_id,,,false,,information,,,44803968 - Ethnicity
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,observation_concept_id,,,false,,information,,,4287771 - Referral source
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,4240723 - Patient discharge
,SUS_BRI_OP_010415_to_300619,Ethnic_Category,,,OBSERVATION,observation_concept_id,,,false,,information,,,44803968 - Ethnicity
,tbl_SRReferralIn,Source,,,OBSERVATION,observation_concept_id,,,false,,information,,,4287771 - Referral source
,SUS_BRI_OP_010415_to_300619,Attended_Or_Did_Not_Attend,,,OBSERVATION,observation_concept_id,,,false,,information,,,443364 - Patient encounter status
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Destination_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,4240723 - Patient discharge
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Destination_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,4240723 - Patient discharge
,tbl_SRReferralIn,PrimaryReason,,,OBSERVATION,observation_concept_id,,,false,,information,,,4144684 - Patient referral
,tbl_SRCode,ctv3code,,,OBSERVATION,observation_concept_id,,,false,,information,,,Use source mapping provided to map to a standard SNOMED code. Only map if Domain=OBSERVATION
,tbl_SRVisit,Duration,,,OBSERVATION,observation_concept_id,,,false,,information,,,44786638 - Visit Duration
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Ethnic_Category,,,OBSERVATION,observation_concept_id,,,false,,information,,,44803968 - Ethnicity
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,8715 - Hospital Admission
,SUS_BRI_AE_010415_to_300619,Ethnic_Category,,,OBSERVATION,observation_concept_id,,,false,,information,,,44803968 - Ethnicity
,SUS_BRI_OP_010415_to_300619,Source_Of_Referral_For_Outpatients,,,OBSERVATION,observation_concept_id,,,false,,information,,,4287771 - Referral source
,SUS_BRI_APC_010415_to_300619_P1,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,8715 - Hospital Admission
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,,,false,,information,,,4240723 - Patient discharge
,SUS_BRI_AE_010415_to_300619,Ethnic_Category,,,OBSERVATION,observation_concept_id,44803968, Ethnicity,false,,OBSERVATION_observation_concept_id,,,44803968 - Ethnicity
,SUS_BRI_APC_010415_to_300619_P1,Ethnic_Category,,,OBSERVATION,observation_concept_id,44803968, Ethnicity,false,,OBSERVATION_observation_concept_id,,,44803968 - Ethnicity
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Ethnic_Category,,,OBSERVATION,observation_concept_id,44803968, Ethnicity,false,,OBSERVATION_observation_concept_id,,,44803968 - Ethnicity
,SUS_BRI_OP_010415_to_300619,Ethnic_Category,,,OBSERVATION,observation_concept_id,44803968, Ethnicity,false,,OBSERVATION_observation_concept_id,,,44803968 - Ethnicity
,tbl_SRVisit,Duration,,,OBSERVATION,observation_concept_id,44786638, Visit Duration,false,,OBSERVATION_observation_concept_id,,,44786638 - Visit Duration
,SUS_BRI_OP_010415_to_300619,Source_Of_Referral_For_Outpatients,,,OBSERVATION,observation_concept_id,4287771, Referral source,false,,OBSERVATION_observation_concept_id,,,4287771 - Referral source
,tbl_SRReferralIn,Source,,,OBSERVATION,observation_concept_id,4287771, Referral source,false,,OBSERVATION_observation_concept_id,,,4287771 - Referral source
,SUS_BRI_AE_010415_to_300619,Source_of_Referral_For_AandE,,,OBSERVATION,observation_concept_id,4287771, Referral source,false,,OBSERVATION_observation_concept_id,,,4287771 - Referral source
,tbl_SRReferralIn,PrimaryReason,,,OBSERVATION,observation_concept_id,4144684, Patient referral,false,,OBSERVATION_observation_concept_id,,,4144684 - Patient referral
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Destination_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,4240723, Patient discharge,false,,OBSERVATION_observation_concept_id,,,4240723 - Patient discharge
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,4240723, Patient discharge,false,,OBSERVATION_observation_concept_id,,,4240723 - Patient discharge
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Destination_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,4240723, Patient discharge,false,,OBSERVATION_observation_concept_id,,,4240723 - Patient discharge
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,4240723, Patient discharge,false,,OBSERVATION_observation_concept_id,,,4240723 - Patient discharge
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,8715, Hospital Admission,false,,OBSERVATION_observation_concept_id,,,8715 - Hospital Admission
,SUS_BRI_APC_010415_to_300619_P1,Admission_Method_Hospital_Provider_Spell,,,OBSERVATION,observation_concept_id,8715, Hospital Admission,false,,OBSERVATION_observation_concept_id,,,8715 - Hospital Admission
,SUS_BRI_OP_010415_to_300619,Attended_Or_Did_Not_Attend,,,OBSERVATION,observation_concept_id,443364, Patient encounter status,false,,OBSERVATION_observation_concept_id,,,443364 - Patient encounter status
,tbl_SRCode,ctv3code,,,OBSERVATION,observation_source_value,,,false,,information,,,CTV3 Code
,tbl_SRCode,ctv3code,,,OBSERVATION,observation_source_concept_id,,,false,,information,,,Use separate resource to convert ctv3code to a SNOMED equivalent code. Map to standard equivalent if non-standard
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_DETAIL,visit_occurrence_id,,,false,,information,,,Use associated numeric ID for Hospital_Provider_Spell_Number
,SUS_BRI_APC_010415_to_300619_P1,End_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_end_date,,,false,,information,,,YYYYMMDD
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,End_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_end_date,,,false,,information,,,YYYYMMDD
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_DETAIL,visit_detail_concept_id,,,false,,information,,,9201 - Inpatient Visit
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_DETAIL,visit_detail_concept_id,9201, Inpatient Visit,false,,VISIT_DETAIL_visit_detail_concept_id,,,9201 - Inpatient Visit
,SUS_BRI_APC_010415_to_300619_P1,Start_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_start_date,,,false,,information,,,YYYYMMDD
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Start_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_start_date,,,false,,information,,,YYYYMMDD
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,End_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_end_datetime,,,false,,information,,,"CONCAT(End_Date_Consultant_Episode, End_Time_Episode)"
,SUS_BRI_APC_010415_to_300619_P1,End_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_end_datetime,,,false,,information,,,"CONCAT(End_Date_Consultant_Episode, End_Time_Episode)"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Start_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_start_datetime,,,false,,information,,,"CONCAT(Start_Date_Consultant_Episode,Start_Time_Episode)"
,SUS_BRI_APC_010415_to_300619_P1,Start_Date_Consultant_Episode,,,VISIT_DETAIL,visit_detail_start_datetime,,,false,,information,,,"CONCAT(Start_Date_Consultant_Episode,Start_Time_Episode)"
,tbl_SRPrimaryCareMedication,medicationquantity,,,DRUG_EXPOSURE,quantity,,,false,,information,,,"Truncate words: tablet(s),tablets,tablet,capsule(s),capsules,capsule,1 pack of. If left with numeric leave for quantity."
,tbl_SRPrimaryCareMedication,idmultilexdmd,,,DRUG_EXPOSURE,drug_concept_id,,,false,,information,,,Use source mapping provided
,tbl_SRImmunisation,idimmunisationcontent,,,DRUG_EXPOSURE,drug_concept_id,,,false,,information,,,See lookup mappings
,tbl_SRPrimaryCareMedication,idmultilexdmd,,,DRUG_EXPOSURE,drug_source_value,,,false,,information,,,dm+d code
,tbl_SRPrimaryCareMedication,idmultilexdmd,,,DRUG_EXPOSURE,drug_type_concept_id,,,false,,information,,,32838 -EHR Prescription
,tbl_SRPrimaryCareMedication,idmultilexdmd,,,DRUG_EXPOSURE,drug_type_concept_id,32838,EHR Prescription,false,,DRUG_EXPOSURE_drug_type_concept_id,,,32838 -EHR Prescription
,tbl_SRImmunisation,dateevent,,,DRUG_EXPOSURE,drug_exposure_end_date,,,false,,information,,,"if dateevent is missing, use date dateeventrecorded"
,tbl_SRPrimaryCareMedication,idmultilexdmd,,,DRUG_EXPOSURE,drug_source_concept_id,,,false,,information,,,Use source mapping to find standard RxNorm/RxNorm extension equivalent from the dm+d code.
,tbl_SRImmunisation,dateevent,,,DRUG_EXPOSURE,drug_exposure_start_date,,,false,,information,,,"if dateevent is missing, use date dateeventrecorded"
,tbl_SRVisit,idorganisation,,,VISIT_OCCURRENCE,care_site_id,,,false,,information,,,Select care_site_id where care_site_source_value = idorganisation
,SUS_BRI_AE_010415_to_300619,AandE_Departure_Date,,,VISIT_OCCURRENCE,visit_end_date,,,false,,information,,,Use AandE_Departure_Date if not null. Use AandE_Arrival_Date if Arrival_Time and AandE_Departure_Time fall on same day. Otherwise use AandE_Arrival_Date + 1.
,tbl_SRVisit,RowIdentifier,,,VISIT_OCCURRENCE,visit_concept_id,,,false,,information,,,9202 - Outpatient Visit
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,,,false,,information,,,9201 - Inpatient Visit
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,,,false,,information,,,9201 - Inpatient Visit
,SUS_BRI_OP_010415_to_300619,Generated_Record_Identifier,,,VISIT_OCCURRENCE,visit_concept_id,,,false,,information,,,9202 - Outpatient Visit
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,9201, Inpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9201 - Inpatient Visit
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,9201, Inpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9201 - Inpatient Visit
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,9201, Inpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9201 - Inpatient Visit
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_concept_id,9201, Inpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9201 - Inpatient Visit
,SUS_BRI_OP_010415_to_300619,Generated_Record_Identifier,,,VISIT_OCCURRENCE,visit_concept_id,9202, Outpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9202 - Outpatient Visit
,tbl_SRVisit,RowIdentifier,,,VISIT_OCCURRENCE,visit_concept_id,9202, Outpatient Visit,false,,VISIT_OCCURRENCE_visit_concept_id,,,9202 - Outpatient Visit
,SUS_BRI_OP_010415_to_300619,Appointment_Date,,,VISIT_OCCURRENCE,visit_end_datetime,,,false,,information,,,"CONCAT(Appointment_Date,Appointment_Time)"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Discharge_Date_From_Hospital_Provider_Spell,,,VISIT_OCCURRENCE,visit_end_datetime,,,false,,information,,,"CONCAT(Discharge_Date_From_Hospital_Provider_Spell,Discharge_Time_Hospital_Provider_Spell)"
,SUS_BRI_APC_010415_to_300619_P1,Discharge_Date_From_Hospital_Provider_Spell,,,VISIT_OCCURRENCE,visit_end_datetime,,,false,,information,,,"CONCAT(Discharge_Date_From_Hospital_Provider_Spell,Discharge_Time_Hospital_Provider_Spell)"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_occurrence_id,,,false,,information,,,Lookup needed to assign each unique alphanumeric spell number a numeric ID.
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,VISIT_OCCURRENCE,visit_occurrence_id,,,false,,information,,,Lookup needed to assign each unique alphanumeric spell number a numeric ID.
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Start_Date_Hospital_Provider_Spell,,,VISIT_OCCURRENCE,visit_start_datetime,,,false,,information,,,"CONCAT(Start_Date_Hospital_Provider_Spell, Start_Time_Hospital_Provider_Spell)"
,SUS_BRI_APC_010415_to_300619_P1,Start_Date_Hospital_Provider_Spell,,,VISIT_OCCURRENCE,visit_start_datetime,,,false,,information,,,"CONCAT(Start_Date_Hospital_Provider_Spell, Start_Time_Hospital_Provider_Spell)"
,SUS_BRI_AE_010415_to_300619,Arrival_Date,,,VISIT_OCCURRENCE,visit_start_datetime,,,false,,information,,,"CONCAT(Arrival_Date,Arrival_Time)"
,SUS_BRI_OP_010415_to_300619,Appointment_Date,,,VISIT_OCCURRENCE,visit_start_datetime,,,false,,information,,,"CONCAT(Appointment_Date,Appointment_Time)"
,,,,,OBSERVATION_PERIOD,observation_period_end_date,,,false,,information,,,"For each person_id, if available use latest date from visit_occurence table if exists (tbl_SRVisit - DateBooked/SUS_BRI_AE_010415_to_300619 - AandE_Departure_Date/src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2 - Discharge_Date_From_Hospital_Provider_Spell/SUS_BRI_APC_010415_to_300619_P1 - Discharge_Date_From_Hospital_Provider_Spell/SUS_BRI_OP_010415_to_300619 - Appointment_Date). If no visit_occurence date exists use latest DateEvent from SRCode"
,,,,,OBSERVATION_PERIOD,observation_period_start_date,,,false,,information,,,"For each person_id, if available use earliest date from visit_occurence table if exists (tbl_SRVisit - DateBooked/SUS_BRI_AE_010415_to_300619 - Arrival_Date/src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2 - Start_Date_Hospital_Provider_Spell/SUS_BRI_APC_010415_to_300619_P1 - Start_Date_Hospital_Provider_Spell/SUS_BRI_OP_010415_to_300619 - Appointment_Date). If no visit_occurence date exists use earliest DateEvent from SRCode"
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,CONDITION_OCCURRENCE,visit_detail_id,,,false,,information,,,"CONCAT(associated numeric ID for Hospital_Provider_Spell_Number,Episode_Number)"
,SUS_BRI_APC_010415_to_300619_P1,Hospital_Provider_Spell_Number,,,CONDITION_OCCURRENCE,visit_occurrence_id,,,false,,information,,,Use associated numeric ID for Hospital_Provider_Spell_Number
,src_BDCT_CDS130InpatientFCEdata010419_310320Final_V2,Hospital_Provider_Spell_Number,,,CONDITION_OCCURRENCE,visit_occurrence_id,,,false,,information,,,Use associated numeric ID for Hospital_Provider_Spell_Number
,tbl_SRCode,ctv3code,,,CONDITION_OCCURRENCE,condition_concept_id,,,false,,information,,,Use source mapping provided to map to a standard SNOMED code. Only map if Domain=CONDITION
,tbl_SRPatient,Gender,,,CONDITION_OCCURRENCE,condition_concept_id,,,false,,information,,,"If source = ""I"" map to: 46270485 - Indeterminate sex"
,tbl_SRCode,dateevent,,,CONDITION_OCCURRENCE,condition_start_date,,,false,,information,,,Truncate time from datevent
